"","year","week","id","offense","offense_conference","defense","defense_conference","home","away","offense_score","defense_score","drive_id","period","clock.minutes","clock.seconds","yard_line","down","distance","yards_gained","play_type","play_text","home_team","TimeSecsRem","adj_yd_line","log_ydstogo","half","game_id","neutral_site","NSH","scoring","Next_Score","Goal_To_Go","Under_two","ep_before","ep_after","EPA"
"1",2019,1,"401110723101855901","Miami","ACC","Florida","SEC","Miami","Florida",0,0,4011107231,1,29,40,75,1,10,2,"Rush","K.J. Osborn run for 2 yds to the MiaFl 27","Miami",1780,25,3.2188758248682,1,401110723,TRUE,3,TRUE,"FG",FALSE,FALSE,4.4380899547648,3.60442272479442,-0.833667229970388
"2",2019,1,"401110723101864001","Miami","ACC","Florida","SEC","Miami","Florida",0,0,4011107231,1,28,59,73,2,8,18,"Pass Reception","Jarren Williams pass complete to Brevin Jordan for 18 yds to the MiaFl 45 for a 1ST down","Miami",1739,27,3.29583686600433,1,401110723,TRUE,3,TRUE,"FG",FALSE,FALSE,3.60442272479442,3.16450971346992,-0.439913011324501
"3",2019,1,"401110723101867301","Miami","ACC","Florida","SEC","Miami","Florida",0,0,4011107231,1,28,26,55,1,10,0,"Pass Reception","Jarren Williams pass complete to DeeJay Dallas for no gain to the MiaFl 45","Miami",1706,45,3.80666248977032,1,401110723,TRUE,3,TRUE,"FG",FALSE,FALSE,3.16450971346992,2.41187138829177,-0.752638325178149
"4",2019,1,"401110723101868701","Miami","ACC","Florida","SEC","Miami","Florida",0,0,4011107231,1,28,12,55,2,10,18,"Pass Reception","Jarren Williams pass complete to K.J. Osborn for 18 yds to the Fla 37 for a 1ST down","Miami",1692,45,3.80666248977032,1,401110723,TRUE,3,TRUE,"FG",FALSE,FALSE,2.41187138829177,2.01242794767119,-0.399443440620579
"5",2019,1,"401110723101876901","Miami","ACC","Florida","SEC","Miami","Florida",0,0,4011107231,1,27,30,37,1,10,15,"Pass Reception","Jarren Williams pass complete to Brevin Jordan for 15 yds to the Fla 22 for a 1ST down","Miami",1650,63,4.14313472639153,1,401110723,TRUE,3,TRUE,"FG",FALSE,FALSE,2.01242794767119,1.05902784543538,-0.953400102235812
"6",2019,1,"401110723101884401","Miami","ACC","Florida","SEC","Miami","Florida",0,0,4011107231,1,26,55,22,1,10,5,"Rush","DeeJay Dallas run for 5 yds to the Fla 17","Miami",1615,78,4.35670882668959,1,401110723,TRUE,3,TRUE,"FG",FALSE,FALSE,1.05902784543538,-0.230971760033361,-1.28999960546874
"7",2019,1,"401110723101894401","Miami","ACC","Florida","SEC","Miami","Florida",0,0,4011107231,1,25,55,17,2,5,-7,"Sack","Jarren Williams sacked by Ventrell Miller for a loss of 7 yards to the Fla 24","Miami",1555,83,4.4188406077966,1,401110723,TRUE,3,TRUE,"FG",FALSE,FALSE,-0.230971760033361,-0.712209267970483,-0.481237507937122
"8",2019,1,"401110723101904401","Miami","ACC","Florida","SEC","Miami","Florida",0,0,4011107231,1,24,55,24,3,12,10,"Pass Reception","Jarren Williams pass complete to Brevin Jordan for 10 yds to the Fla 14","Miami",1495,76,4.33073334028633,1,401110723,TRUE,3,TRUE,"FG",FALSE,FALSE,-0.712209267970483,-1.93126982410846,-1.21906055613798
"9",2019,1,"401110723101906201","Miami","ACC","Florida","SEC","Miami","Florida",3,0,4011107231,1,24,37,19,4,7,36,"Field Goal Good","Bubba Baxa 36 yd FG GOOD","Miami",1477,98,4.58496747867057,1,401110723,TRUE,3,TRUE,"FG",FALSE,FALSE,3.72485087182274,3,-0.724850871822738
"10",2019,1,"401110723101907401","Florida","SEC","Miami","ACC","Miami","Florida",0,3,4011107232,1,24,25,21,1,10,0,"Pass Incompletion","Feleipe Franks pass incomplete to Van Jefferson","Miami",1465,21,3.04452243772342,1,401110723,TRUE,7,TRUE,"TD",FALSE,FALSE,4.70424783240684,3.99872970269693,-0.70551812970991
"11",2019,1,"401110723101908901","Florida","SEC","Miami","ACC","Miami","Florida",0,3,4011107232,1,24,10,21,2,10,5,"Rush","Lamical Perine run for 5 yds to the Fla 26","Miami",1450,21,3.04452243772342,1,401110723,TRUE,7,TRUE,"TD",FALSE,FALSE,3.99872970269693,2.95497425791629,-1.04375544478065
"12",2019,1,"401110723101916201","Florida","SEC","Miami","ACC","Miami","Florida",0,3,4011107232,1,23,37,26,3,5,2,"Rush","Feleipe Franks run for 2 yds to the Fla 28","Miami",1417,26,3.25809653802148,1,401110723,TRUE,7,TRUE,"TD",FALSE,FALSE,2.95497425791629,2.18564090339521,-0.76933335452108
"13",2019,1,"401110723101918901","Florida","SEC","Miami","ACC","Miami","Florida",0,3,4011107232,1,23,10,28,4,3,6,"Rush","Tommy Townsend run for 6 yds to the Fla 34 for a 1ST down","Miami",1390,28,3.3322045101752,1,401110723,TRUE,7,TRUE,"TD",FALSE,FALSE,2.18564090339521,3.83870736913246,1.65306646573726
