"year","week","id_play","offense_play","defense_play","home","away","offense_score","defense_score","drive_id","period","clock.minutes","clock.seconds","yard_line","yards_to_goal","down","distance","yards_gained","play_type","play_text","ppa","game_id","scoring","start_yardline","start_yards_to_goal","end_yards_to_goal","yards","drive_result","pts_drive","start_time.hours","end_time.hours","elapsed.hours","home_team","raw_secs","half","offense","defense","neutral_site","NSH","DSH","Next_Score","log_ydstogo","abs_diff","Drive_Score_Dist","Drive_Score_Dist_W","ScoreDiff_W","Total_W","Total_W_Scaled","timeout_called","timeout_team","home_timeout","away_timeout","home_timeouts_rem_beg","away_timeouts_rem_beg"
2019,8,"401110827104997803","Texas A&M","Ole Miss","Ole Miss","Texas A&M",24,14,40111082726,4,0,21,67,67,2,11,0,"Timeout","TEAM run for 1 yd to the TexAM 33",NA,401110827,FALSE,16,84,31,65,"END OF GAME",0,NA,NA,NA,"Ole Miss",21,2,"Ole Miss","Texas A&M",FALSE,0,40111082726,"No_Score",2.39789527279837,10,0,1,0.879518072289157,1.87951807228916,0.915236298819951,1,NA,0,0,NA,NA
2016,6,"400869377104999301","Florida Atlantic","Charlotte","Florida Atlantic","Charlotte",23,28,40086937724,4,0,6,62,38,3,10,0,"Timeout","(0:06 - 4TH) JASON DRISKEL PASS INCOMPLETE TO KAMRIN SOLOMON (RULED TD ON FIELD, OVERTURNED AFTER REVIEW).",NA,400869377,FALSE,28,72,38,72,"END OF HALF",0,NA,NA,NA,"Florida Atlantic",6,2,"Florida Atlantic","Charlotte",FALSE,0,40086937724,"No_Score",2.30258509299405,5,0,1,0.939759036144578,1.93975903614458,0.957618149409976,1,NA,0,0,NA,NA
2013,1,"332422567129","SMU","Texas Tech","SMU","Texas Tech",6,6,33242256712,2,3,0,37,63,4,10,0,"Timeout","Mike Loftus punt for 35 yards, fair catch by Tanner Jacobson at the TexTc 28.",NA,332422567,FALSE,37,63,63,0,"PUNT",0,NA,NA,NA,"SMU",180,1,"SMU","Texas Tech",FALSE,-7,33242256713,"Opp_TD",2.30258509299405,0,1,0.999999999972301,1,1.9999999999723,0.999999999980513,1,NA,0,0,NA,NA
2013,5,"332712084004","Connecticut","Buffalo","Buffalo","Connecticut",0,0,33271208401,1,28,53,70,70,3,5,0,"Timeout","[SGUN], timeout Buffalo, clock 13:53.",NA,332712084,FALSE,75,75,92,-17,"FUMBLE",0,NA,NA,NA,"Buffalo",1733,1,"Connecticut","Buffalo",FALSE,-7,33271208402,"Opp_TD",1.6094379124341,0,1,0.999999999972301,1,1.9999999999723,0.999999999980513,1,"timeout buffalo",0,0,NA,NA
2013,5,"332712084006","Buffalo","Connecticut","Buffalo","Connecticut",0,0,33271208402,1,28,45,92,8,1,0,0,"Timeout","[PSTL], timeout CONNECTICUT, clock 13:45.",NA,332712084,TRUE,92,8,0,8,"PASSING TD",7,NA,NA,NA,"Buffalo",1725,1,"Buffalo","Connecticut",FALSE,7,33271208402,"TD",-Inf,0,0,1,1,2,1,1,"timeout connecticut",0,0,NA,NA
2013,6,"332782084033","Buffalo","Eastern Michigan","Buffalo","Eastern Michigan",7,0,33278208406,1,17,17,84,16,1,10,0,"Timeout","[SGUN], timeout Eastern Michigan, clock 02:17.",NA,332782084,TRUE,84,16,0,16,"RUSHING TD",7,NA,NA,NA,"Buffalo",1037,1,"Buffalo","Eastern Michigan",FALSE,7,33278208406,"TD",2.30258509299405,7,0,1,0.91566265060241,1.91566265060241,0.940665409173966,1,"timeout eastern michigan",0,0,NA,NA
2012,1,"322450038150","Colorado","Colorado State","Colorado","Colorado State",14,3,32245003814,2,0,43,58,42,1,10,0,"Timeout","",NA,322450038,TRUE,58,58,0,20,"PASSING TD",7,NA,NA,NA,"Colorado",43,1,"Colorado State","Colorado",TRUE,7,32245003814,"TD",2.30258509299405,11,0,1,0.867469879518072,1.86746987951807,0.906759928701946,1,NA,0,0,NA,NA
2012,9,"323010009522","UCLA","Arizona State","Arizona State","UCLA",42,43,32301000931,4,1,33,80,80,1,10,0,"Timeout","[SG], timeout Arizona State, clock 01:33.",NA,323010009,TRUE,80,80,15,60,"FG GOOD",3,NA,NA,NA,"Arizona State",93,2,"UCLA","Arizona State",FALSE,3,32301000931,"FG",2.30258509299405,1,0,1,0.987951807228916,1.98795180722892,0.991523629881995,1,"timeout arizona state",0,0,NA,NA
2012,10,"323080239139","Kansas","Baylor","Baylor","Kansas",14,17,32308023914,2,1,9,93,93,1,5,0,"Timeout","",NA,323080239,FALSE,93,93,4,11,"PUNT",0,NA,NA,NA,"Baylor",69,1,"Kansas","Baylor",FALSE,0,32308023914,"No_Score",1.6094379124341,3,0,1,0.963855421686747,1.96385542168675,0.974570889645985,1,NA,0,0,NA,NA
2012,10,"323082084054","Miami (OH)","Buffalo","Buffalo","Miami (OH)",0,0,32308208408,2,9,40,60,60,3,6,0,"Timeout","timeout Miami (OH), clock 09:40.",NA,323082084,FALSE,89,89,60,29,"PUNT",0,NA,NA,NA,"Buffalo",580,1,"Miami (OH)","Buffalo",FALSE,3,32308208410,"FG",1.79175946922805,0,2,0.999999999944601,1,1.9999999999446,0.999999999961025,1,"timeout miami (oh)",0,0,NA,NA
